text,emotion
I am very happy today,Happy
I feel excited and joyful,Happy
This is an amazing day,Happy
I feel sad and lonely,Sad
I want to cry today,Sad
I am feeling very low,Sad
I am angry and irritated,Angry
I feel frustrated right now,Angry
I hate this situation,Angry
I am stressed and tired,Stressed
I am under pressure,Stressed
I feel anxious and worried,Stressed
I feel calm and relaxed,Calm
I am peaceful today,Calm
I feel quiet and chill,Calm
I am feeling romantic,Romantic
I miss someone I love,Romantic
I feel like going on a date,Romantic
I am motivated to work hard,Motivated
I feel strong and focused,Motivated
I want energy for workout,Motivated